greenPpg,irPpg,wristTimeMSec
80182.71,899129.44,33178.74
80189.36,899223.2,33178.78
80190.234,899263.56,33178.82
80147.016,899245.4,33178.86
80153.57,899169.44,33178.9
80145.766,899168.25,33178.94
80158.766,899318.2,33178.98
80168.336,899387.94,33179.02
80197.375,899524.3,33179.06
80163.64,899568.0,33179.1
80078.49,899578.8,33179.14
79999.94,899531.75,33179.18
79923.945,899128.6,33179.22
79872.81,898743.44,33179.26
79857.875,898503.0,33179.3
79850.18,898529.9,33179.34
79838.11,898579.1,33179.38
79811.805,898571.44,33179.418
79791.5,898585.5,33179.46
79765.4,898527.3,33179.5
79800.42,898370.2,33179.54
79789.9,898253.94,33179.58
79795.875,898204.56,33179.62
79829.43,898262.25,33179.66
79855.18,898397.1,33179.7
79842.55,898551.1,33179.74
79791.56,898521.7,33179.78
79714.37,898704.0,33179.82
79628.16,898523.56,33179.86
79610.484,898156.44,33179.9
79559.52,897885.2,33179.94
79573.234,897960.8,33179.98
79542.195,898165.25,33180.02
79558.19,898301.6,33180.06
79541.266,898520.56,33180.1
79556.81,898701.75,33180.14
79527.02,898695.6,33180.18
79541.13,898832.94,33180.22
79556.766,899088.4,33180.26
79594.56,899434.8,33180.3
79635.6,899672.44,33180.34
79583.28,900155.8,33180.38
79601.05,900578.56,33180.418
79504.07,900861.06,33180.46
79443.984,900809.1,33180.5
79405.22,900498.5,33180.54
79439.88,900378.6,33180.58
79370.51,900571.6,33180.62
79373.93,900918.06,33180.66
79359.37,901156.25,33180.7
79347.4,901437.6,33180.74
79411.01,901631.1,33180.78
79362.13,901835.75,33180.82
79384.766,901754.94,33180.86
79414.05,901867.2,33180.9
79420.14,902032.94,33180.94
79467.11,902271.75,33180.98
79466.26,902466.44,33181.02
79442.32,902756.2,33181.06
79368.49,902822.6,33181.1
79273.31,902671.44,33181.14
79183.266,902210.9,33181.18
79203.25,901876.6,33181.22
79199.81,901731.56,33181.26
79190.13,901873.75,33181.3
79179.625,901918.9,33181.34
79172.18,902084.44,33181.38
79169.86,902130.75,33181.418
79141.28,902133.5,33181.46
79187.43,901919.8,33181.5
79172.83,901878.9,33181.54
79192.52,902047.0,33181.58
79237.8,902120.06,33181.62
79277.11,902200.1,33181.66
79269.49,902353.44,33181.7
79194.81,902336.3,33181.74
79126.94,902218.2,33181.78
79059.64,901837.56,33181.82
79018.766,901367.0,33181.86
78996.586,900882.75,33181.9
78967.64,900717.0,33181.94
78971.94,900634.56,33181.98
78974.69,900578.94,33182.02
