HR,HR_Confidence,IBI,IBI_Confidence
71.685638,0.0,0.0,0
71.685677,0.0,0.0,0
71.685715,0.0,0.0,0
71.685745,0.0,0.0,0
71.685776,0.0,0.0,0
71.685806,0.0,0.0,0
71.685837,0.0,0.0,0
71.685867,0.0,0.0,0
71.68589,0.0,0.0,0
71.685913,0.0,0.0,0
71.685936,0.0,0.0,0
71.685959,0.0,753.131836,100
71.685982,0.0,0.0,0
71.686005,0.0,0.0,0
71.68602,0.0,0.0,0
71.686035,0.0,0.0,0
71.68605,99.997765,0.0,0
71.686066,99.997879,0.0,0
71.686081,99.997978,0.0,0
71.686096,99.998077,0.0,0
71.686111,99.998177,0.0,0
71.686127,99.998268,0.0,0
71.686142,99.998352,0.0,0
71.686157,99.998436,0.0,0
71.686165,99.998512,0.0,0
71.686172,99.998589,0.0,0
71.68618,99.99865,0.0,0
71.686188,99.998718,0.0,0
71.686195,99.998779,0.0,0
71.686203,99.99884,0.0,0
71.686211,99.998894,0.0,0
71.686218,99.998955,0.0,0
71.686226,99.999001,0.0,0
71.686234,99.999046,0.0,0
71.686241,99.9991,0.0,0
71.686249,99.999138,0.0,0
71.686256,99.999184,0.0,0
71.686264,99.999229,0.0,0
71.686272,99.99926,0.0,0
71.686279,99.999298,0.0,0
71.686287,99.999336,0.0,0
71.686295,99.999367,0.0,0
71.686302,99.999397,0.0,0
71.68631,99.999428,0.0,0
71.68631,99.999458,0.0,0
71.68631,99.999481,0.0,0
71.68631,99.999504,0.0,0
71.68631,99.999535,0.0,0
71.68631,99.999557,0.0,0
71.68631,99.999573,746.133972,100
71.68631,99.999596,0.0,0
71.68631,99.999611,0.0,0
71.68631,99.999626,0.0,0
71.68631,99.999649,0.0,0
71.68631,99.999664,0.0,0
71.68631,99.999687,0.0,0
71.68631,99.999695,0.0,0
71.68631,99.99971,0.0,0
71.68631,99.999718,0.0,0
71.68631,99.999733,0.0,0
71.68631,99.999748,0.0,0
71.68631,99.999756,0.0,0
71.68631,99.999771,0.0,0
71.68631,99.999779,0.0,0
71.68631,99.999794,0.0,0
71.68631,99.999809,0.0,0
71.68631,99.999809,0.0,0
71.68631,99.999817,0.0,0
71.68631,99.999825,0.0,0
71.68631,99.999832,0.0,0
71.68631,99.99984,0.0,0
71.68631,99.99984,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,1539.911987,25
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,593.501892,25
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,354.65744,25
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
71.68631,99.999847,0.0,0
